,Q2b,Q2c,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Female,Age,Work_exp
896,2,2.0,2,5,4,4,4,3,4,4,2,3,4,1,5,1,3,4,1,1,2,4,4,4,1,33,3.0
898,1,2.0,3,5,4,4,4,5,4,3,1,4,4,1,5,1,1,1,2,3,1,4,5,4,1,32,3.0
900,2,1.0,4,5,5,5,4,5,4,1,4,5,3,4,5,1,2,1,1,2,1,2,3,4,0,49,7.0
904,2,2.0,3,5,4,4,5,2,5,3,5,4,4,3,4,1,2,4,1,3,2,4,4,4,0,33,3.0
906,1,2.0,4,5,4,5,4,4,5,1,2,3,5,1,5,1,4,1,1,1,4,4,5,5,0,35,4.0
908,1,4.0,1,5,4,4,3,2,2,2,2,4,5,1,4,1,1,1,1,1,1,3,4,4,0,44,6.0
910,1,3.0,2,4,4,4,2,1,2,4,1,3,4,5,4,1,2,3,1,3,1,4,4,4,0,27,
912,2,1.0,2,5,3,3,4,4,2,3,3,5,5,5,5,1,1,3,1,1,3,2,5,3,1,27,
914,1,3.0,1,4,5,5,4,1,1,4,3,3,4,1,4,1,2,3,1,2,3,4,4,5,0,24,
916,1,1.0,2,4,4,4,2,4,5,4,4,2,4,4,4,1,4,4,1,1,1,4,4,5,1,22,
