,ResponseID,SchoolRated,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,Q17_25,Q17_26,Q17_27,Q17_28,Q17_29,Q17_30
530,R_3CwMIvaYqj6Lbxj,4,5,5,5,5,5,5,4,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3
562,R_3t6ergHODZ4Lvoh,4,3,3,4,3,4,4,3,3,4,4,4,3,3,3,4,3,5,3,4,4,4,3,4,3,4,4,2,3,3,5
564,R_3Uil2zCvy5izOtf,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
582,R_4NJvQYT0RTRCSsB,4,5,5,3,5,3,2,5,5,4,5,5,2,5,5,4,4,4,5,4,4,5,4,4,3,5,5,5,4,4,4
584,R_4SdYelaB5AfIE3r,4,5,5,5,3,4,3,3,3,3,3,3,3,3,3,3,4,5,2,5,4,4,3,3,2,3,5,1,3,3,2
586,R_4SfhFWwKirhUtql,4,3,5,5,5,5,4,3,3,5,4,5,3,4,3,5,4,4,5,4,4,5,3,5,5,5,3,3,3,3,3
596,R_51nE5g7cCaJCzEF,4,4,3,5,4,5,5,5,5,5,5,5,2,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
600,R_555JxSHLcdtwo0R,4,4,2,4,4,4,3,2,3,3,4,2,4,2,2,5,1,3,3,3,3,3,2,1,1,2,3,3,3,2,3
608,R_5mZ2IYVxFcmsgCh,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4
623,R_6FHaUAfmwpNrJqJ,4,4,3,4,5,4,4,3,5,3,4,5,5,4,3,4,3,4,5,4,4,4,2,3,2,4,4,3,3,2,4
638,R_6RIfCGuuv5iCXOJ,4,4,5,5,5,4,5,4,5,5,5,5,4,4,3,4,5,5,5,5,5,5,3,5,4,5,5,3,4,4,4
662,R_77kXPY6AeZflTy5,4,4,4,4,4,2,3,3,4,4,4,4,5,3,3,4,5,3,3,3,5,4,4,4,3,4,4,3,3,3,3
