,ResponseID,SchoolRated,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,Q17_25,Q17_26,Q17_27,Q17_28,Q17_29,Q17_30
503,R_1QXqoJiY6MP1UMt,4,4,4,3,4,4,3,3,5,3,4,3,5,4,3,4,3,4,4,4,3,4,3,4,3,4,4,3,4,4,3
507,R_23I9xzodOt5yYfj,4,3,4,4,5,5,4,4,5,5,5,4,4,4,3,5,5,4,5,5,5,4,4,4,4,4,5,4,5,3,4
528,R_2ossGSl1vBvc9Nj,4,5,4,4,5,4,4,4,5,5,4,4,4,4,2,4,4,4,4,5,4,4,5,5,4,4,5,4,5,4,3
625,R_6J98wZeMELEzTsp,4,5,5,4,4,3,5,3,4,4,4,3,5,4,2,4,3,4,3,5,4,4,4,4,4,5,4,3,5,4,3
635,R_6PFmFyFdGmoCw97,4,3,5,4,4,4,5,4,5,4,3,4,4,3,3,4,4,4,4,4,4,4,4,5,4,4,4,3,3,3,5
721,R_8oF7rWPnNnswtpz,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
795,R_bfwjuhfrA9hxcQl,4,4,5,4,4,5,3,4,3,4,5,5,4,4,4,5,3,5,5,5,5,5,4,4,5,5,5,3,4,4,5
807,R_bKiFapLmgAFpkjj,4,5,5,5,5,5,3,3,2,5,5,4,3,5,4,5,4,5,5,5,5,5,4,5,1,4,5,3,4,5,3
821,R_bQTFiyWYtLbYPCl,4,4,4,4,4,4,5,3,4,4,4,5,5,3,3,5,4,5,5,4,4,5,3,5,4,5,5,3,4,2,3
835,R_cHEUUlAbYXaApOB,4,5,4,4,4,3,3,3,4,3,3,4,3,5,3,4,3,3,3,3,4,4,3,4,4,4,4,3,3,3,3
905,R_eXJ1WE0tjkhwWiN,4,3,5,4,5,4,4,3,5,4,3,3,4,3,3,4,4,3,4,4,4,4,3,4,5,3,4,4,3,3,3
