,Q2b,Q2c,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Female,Age,Work_exp
738,3,,3,5,4,4,3,5,4,4,4,4,4,5,5,1,4,2,1,1,2,4,4,4,0,40,6.0
740,3,,2,4,4,3,4,1,1,4,3,3,4,2,4,1,4,3,1,2,1,4,4,2,0,34,3.0
744,3,,3,5,3,4,5,5,5,4,4,5,5,4,5,3,5,3,3,2,2,3,5,3,0,39,6.0
746,3,,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,2,4,4,4,3,5,5,0,37,5.0
758,3,,3,5,4,5,3,4,2,4,4,5,5,1,5,1,1,4,1,1,1,1,1,1,0,42,6.0
766,3,,5,5,5,5,4,5,5,1,4,5,5,1,5,1,2,4,4,1,4,5,5,5,0,43,7.0
774,3,,3,5,4,4,2,2,1,5,4,4,3,2,4,3,4,5,1,5,1,4,3,1,0,37,4.0
782,3,,4,5,4,5,5,5,4,3,3,4,5,3,5,1,5,4,1,1,5,4,5,3,0,44,7.0
784,3,,3,4,3,3,4,3,4,2,3,3,4,2,4,1,4,1,1,1,4,1,4,1,0,36,5.0
814,4,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,35,2.0
816,3,,4,5,4,4,5,5,4,3,1,5,4,3,5,1,1,1,2,2,4,4,1,4,0,51,7.0
818,3,,3,5,5,5,4,4,5,1,1,5,5,3,5,1,1,1,1,1,1,5,5,5,0,33,4.0
820,4,,3,5,4,4,3,3,3,2,4,4,4,3,5,1,1,4,1,3,3,4,3,2,0,41,5.0
844,4,,4,2,3,2,3,4,4,5,3,2,3,3,4,1,4,4,1,1,1,4,4,4,0,38,5.0
870,3,,4,5,4,4,3,3,2,3,4,4,4,4,5,1,1,4,1,1,1,4,1,1,0,39,5.0
880,3,,5,5,4,5,2,5,4,5,4,2,5,5,5,1,3,2,1,4,2,3,4,1,0,39,6.0
902,3,,1,5,5,5,4,4,2,5,2,5,5,1,5,1,4,1,1,1,1,5,5,1,1,37,5.0
